Date,Open,High,Low,Close,Adj Close,Volume
2024-08-06,256.57,261.36,255.53,259.89,259.89,4205042.0
2024-08-05,251.21,258.33,251.0,255.18,255.18,8463400.0
2024-08-02,264.5,264.77,260.69,262.9,262.9,4744200.0
2024-08-01,273.25,274.51,266.61,268.3,268.3,3767300.0
2024-07-31,271.94,274.29,271.1,272.57,272.57,2541500.0
2024-07-30,270.5,271.15,266.87,268.59,268.59,2174100.0
2024-07-29,270.73,271.08,268.77,269.71,269.71,2814400.0
2024-07-26,268.64,270.99,268.25,269.69,269.69,2757900.0
2024-07-25,267.7,271.07,265.95,266.5,266.5,3237800.0
2024-07-24,271.34,271.61,267.08,267.53,267.53,3050700.0
2024-07-23,273.87,275.14,273.56,273.69,273.69,2229500.0
2024-07-22,272.78,274.15,271.9,273.89,273.89,2527300.0
2024-07-19,272.56,273.33,270.5,271.06,271.06,2414200.0
2024-07-18,276.0,276.55,271.65,272.76,272.76,2904200.0
2024-07-17,276.24,277.27,274.99,275.16,275.16,3346100.0
2024-07-16,277.6,279.21,277.4,279.1,279.1,3261100.0
2024-07-15,276.8,278.3,275.88,276.82,276.82,3386100.0
2024-07-12,274.35,277.36,274.34,275.64,275.64,2729500.0
2024-07-11,275.75,276.26,273.44,273.83,273.83,3598000.0
2024-07-10,273.21,275.21,272.85,275.06,275.06,1992600.0
2024-07-09,272.82,273.18,272.31,272.42,272.42,2702100.0
2024-07-08,272.65,272.92,271.91,272.49,272.49,2335000.0
2024-07-05,270.82,272.26,270.4,272.12,272.12,4237500.0
2024-07-03,269.61,270.9,269.61,270.71,270.71,1948500.0
2024-07-02,267.46,269.63,267.25,269.6,269.6,4207800.0
2024-07-01,268.49,268.49,266.73,268.05,268.05,2881000.0
2024-06-28,269.37,270.41,266.95,267.51,267.51,2822800.0
2024-06-27,268.62,269.59,268.49,269.38,268.43,2655400.0
2024-06-26,267.98,269.1,267.63,268.73,267.78,1857500.0
2024-06-25,268.37,268.74,267.49,268.74,267.79,2074800.0
2024-06-24,268.34,269.78,267.78,267.86,266.91,2226500.0
2024-06-21,268.42,268.81,267.46,268.31,267.36,2679400.0
2024-06-20,269.94,270.19,267.75,268.72,267.77,3168600.0
2024-06-18,268.86,269.54,268.66,269.4,268.45,2024300.0
2024-06-17,266.41,269.4,266.04,268.72,267.77,2452000.0
2024-06-14,265.86,266.69,265.24,266.69,265.75,2205600.0
2024-06-13,267.47,267.8,265.5,266.89,265.95,2285200.0
2024-06-12,267.09,268.21,266.21,266.77,265.83,2762600.0
2024-06-11,263.0,264.35,261.88,264.28,263.35,3017300.0
2024-06-10,262.33,264.0,262.2,263.83,262.9,2142700.0
2024-06-07,262.89,264.3,262.25,262.95,262.02,1838900.0
2024-06-06,263.65,263.96,262.6,263.45,262.52,2190200.0
2024-06-05,261.8,263.68,260.7,263.68,262.75,2384000.0
2024-06-04,259.84,260.89,258.95,260.49,259.57,2489800.0
2024-06-03,261.66,261.66,258.08,260.52,259.6,6203400.0
2024-05-31,259.0,260.6,256.25,260.44,259.52,3407400.0
2024-05-30,259.28,259.62,257.75,258.45,257.54,3031200.0
2024-05-29,259.62,260.37,259.43,259.72,258.8,3179000.0
2024-05-28,262.47,262.47,260.49,261.87,260.94,3078100.0
2024-05-24,261.04,262.21,260.45,261.87,260.94,3122900.0
2024-05-23,263.86,263.92,259.43,259.99,259.07,6603000.0
2024-05-22,262.86,263.07,261.13,262.22,261.29,2356600.0
2024-05-21,262.2,263.16,262.13,263.11,262.18,2241900.0
2024-05-20,262.43,263.36,262.21,262.57,261.64,2366100.0
2024-05-17,262.15,262.3,261.24,262.3,261.37,2208700.0
2024-05-16,262.68,263.28,261.86,261.93,261.0,2445000.0
2024-05-15,260.85,262.73,260.44,262.64,261.71,2508700.0
2024-05-14,258.23,259.67,258.08,259.45,258.53,2466800.0
2024-05-13,259.08,259.08,257.56,258.19,257.28,1948400.0
2024-05-10,258.67,259.03,257.45,258.05,257.14,1922500.0
2024-05-09,256.3,257.88,256.0,257.81,256.9,2418700.0
2024-05-08,255.48,256.55,255.33,256.3,255.39,2600100.0
2024-05-07,256.59,257.17,256.14,256.48,255.57,1829900.0
2024-05-06,254.8,256.25,254.62,256.25,255.34,2811500.0
2024-05-03,253.6,254.4,252.2,253.53,252.63,2350200.0
2024-05-02,250.13,250.92,247.61,250.56,249.67,2580200.0
2024-05-01,248.46,251.98,247.6,247.99,247.11,3509500.0
2024-04-30,251.94,252.33,248.56,248.61,247.73,2502700.0
2024-04-29,252.75,253.12,251.35,252.77,251.88,2086000.0
2024-04-26,250.86,252.54,250.44,251.78,250.89,3238100.0
2024-04-25,247.31,249.89,246.43,249.46,248.58,2473300.0
2024-04-24,251.21,251.51,249.3,250.65,249.76,2285900.0
2024-04-23,248.57,250.95,248.27,250.59,249.7,2399000.0
2024-04-22,246.59,248.88,245.38,247.64,246.76,3112000.0
2024-04-19,247.07,247.69,244.57,245.23,244.36,3467600.0
2024-04-18,248.32,249.53,246.65,247.17,246.3,2991700.0
2024-04-17,250.44,250.93,246.98,247.68,246.8,2861400.0
2024-04-16,249.89,250.65,248.47,249.14,248.26,3466800.0
2024-04-15,255.0,255.21,249.26,249.89,249.01,4804300.0
2024-04-12,255.27,255.64,252.16,253.0,252.11,3571000.0
2024-04-11,255.75,257.43,253.88,256.7,255.79,3434200.0
2024-04-10,254.72,256.04,253.92,254.97,254.07,3348900.0
2024-04-09,258.35,258.5,255.4,257.85,256.94,2944100.0
2024-04-08,257.8,258.14,257.1,257.48,256.57,3223800.0
2024-04-05,255.11,258.2,255.0,257.18,256.27,4177700.0
2024-04-04,259.65,259.99,254.44,254.61,253.71,3121300.0
2024-04-03,256.73,258.44,256.66,257.7,256.79,3241600.0
2024-04-02,257.5,257.5,256.19,257.3,256.39,3213400.0
2024-04-01,260.32,260.38,258.68,259.7,258.78,3292300.0
2024-03-28,259.8,260.58,259.76,259.9,258.98,2669100.0
2024-03-27,259.13,259.85,258.01,259.73,258.81,4030200.0
2024-03-26,258.8,258.83,257.28,257.46,256.55,2591500.0
2024-03-25,258.1,258.49,257.79,257.92,257.01,2714400.0
2024-03-22,259.19,259.45,258.34,258.5,257.59,2463200.0
2024-03-21,260.65,261.07,260.04,260.14,258.31,3723200.0
2024-03-20,256.46,259.2,256.19,259.07,257.25,2480800.0
2024-03-19,254.43,256.55,254.17,256.47,254.67,2900200.0
2024-03-18,255.58,256.21,254.81,255.0,253.21,3455400.0
2024-03-15,253.6,254.65,252.7,253.71,251.93,3216100.0
2024-03-14,256.69,256.87,253.72,255.22,253.43,3664100.0
2024-03-13,256.57,256.87,255.47,256.21,254.41,2667400.0
2024-03-12,254.99,256.74,253.65,256.53,254.73,4380100.0
2024-03-11,253.89,254.35,252.7,254.02,252.24,3038700.0
2024-03-08,256.42,257.71,254.04,254.43,252.64,3671100.0
2024-03-07,255.0,256.37,254.65,255.91,254.11,2940900.0
2024-03-06,253.87,254.51,252.68,253.44,251.66,2501700.0
2024-03-05,253.68,253.86,250.91,251.95,250.18,3134800.0
2024-03-04,254.78,255.58,254.53,254.65,252.86,4966800.0
2024-03-01,253.04,255.07,252.68,254.9,253.11,3691300.0
2024-02-29,252.68,253.3,251.12,252.58,250.81,2610400.0
2024-02-28,251.1,251.96,250.97,251.52,249.75,2192200.0
2024-02-27,251.79,252.1,250.95,251.94,250.17,2024600.0
2024-02-26,252.02,252.44,251.2,251.24,249.48,2585800.0
2024-02-23,252.46,252.92,251.53,252.0,250.23,2856000.0
2024-02-22,249.96,252.21,249.61,251.83,250.06,3873000.0
2024-02-21,246.05,246.99,245.13,246.95,245.22,2174900.0
2024-02-20,247.55,247.75,245.76,246.9,245.17,3445100.0
2024-02-16,249.61,250.23,248.1,248.46,246.71,2907800.0
2024-02-15,248.34,249.94,248.02,249.77,248.02,3181900.0
2024-02-14,246.87,248.03,245.61,247.86,246.12,2606900.0
2024-02-13,245.61,246.32,243.35,245.15,243.43,5832600.0
2024-02-12,249.04,250.34,248.72,249.14,247.39,2769700.0
2024-02-09,247.75,249.15,247.51,248.9,247.15,2367700.0
2024-02-08,246.81,247.47,246.51,247.39,245.65,2668200.0
2024-02-07,246.0,247.09,245.39,246.78,245.05,2305700.0
2024-02-06,244.48,245.02,243.9,244.85,243.13,2568400.0
2024-02-05,244.83,244.99,242.74,244.02,242.31,3324800.0
2024-02-02,242.96,246.01,242.69,245.18,243.46,3875800.0
2024-02-01,240.9,243.1,240.04,243.1,241.39,3986800.0
2024-01-31,242.84,243.24,239.86,239.87,238.19,3884500.0
2024-01-30,244.07,244.33,243.57,243.98,242.27,3098900.0
2024-01-29,242.34,244.34,242.13,244.32,242.6,3463400.0
2024-01-26,242.31,243.02,241.73,242.12,240.42,2858200.0
2024-01-25,242.19,242.56,241.07,242.32,240.62,2993900.0
2024-01-24,242.66,242.87,240.85,240.98,239.29,3003000.0
2024-01-23,241.02,241.17,240.06,241.02,239.33,3015300.0
2024-01-22,240.54,241.4,240.05,240.58,238.89,3952700.0
2024-01-19,237.38,239.74,236.76,239.54,237.86,3850100.0
2024-01-18,235.64,236.96,234.62,236.66,235.0,3509900.0
2024-01-17,234.41,234.87,233.43,234.59,232.94,3336600.0
2024-01-16,236.29,236.91,235.1,236.01,234.35,3646700.0
2024-01-12,237.98,238.37,236.42,237.11,235.44,3049500.0
2024-01-11,237.52,237.86,234.92,237.07,235.4,3375600.0
2024-01-10,236.12,237.66,235.79,237.23,235.56,3343400.0
2024-01-09,235.15,236.56,234.74,236.01,234.35,4524800.0
2024-01-08,233.27,236.56,233.26,236.45,234.79,4156600.0
2024-01-05,232.7,234.39,232.4,233.12,231.48,3305100.0
2024-01-04,233.26,234.55,232.66,232.77,231.14,3681900.0
2024-01-03,234.53,234.74,233.11,233.37,231.73,3925500.0
2024-01-02,235.65,236.51,234.77,235.63,233.98,4847600.0
2023-12-29,238.14,238.47,236.48,237.22,235.55,4187500.0
2023-12-28,238.25,238.74,238.13,238.13,236.46,4099400.0
2023-12-27,238.0,238.44,237.47,238.25,236.58,5103700.0
2023-12-26,236.98,238.31,236.86,237.8,236.13,3829400.0
2023-12-22,236.59,237.52,235.64,236.63,234.97,3661900.0
2023-12-21,235.08,236.17,234.06,236.09,234.43,4427000.0
2023-12-20,237.74,238.69,234.44,234.51,231.87,5149700.0
2023-12-19,236.72,238.1,236.72,238.06,235.38,3731700.0
2023-12-18,235.86,236.82,235.82,236.33,233.67,3855100.0
2023-12-15,234.79,235.94,234.63,235.31,232.66,4297900.0
2023-12-14,235.66,236.58,234.19,235.63,232.98,5014500.0
2023-12-13,230.77,234.43,230.55,234.24,231.6,4231100.0
2023-12-12,229.59,230.78,228.96,230.66,228.06,3214900.0
2023-12-11,228.69,229.83,228.51,229.79,227.2,3076600.0
2023-12-08,227.36,229.09,227.27,228.85,226.27,2741500.0
2023-12-07,226.99,228.05,226.71,227.76,225.19,2724300.0
2023-12-06,227.89,228.16,225.88,225.95,223.4,3172900.0
2023-12-05,226.58,227.45,226.21,226.91,224.35,3019000.0
2023-12-04,226.58,227.43,226.08,227.35,224.79,3837800.0
2023-12-01,225.99,228.33,225.59,228.17,225.6,4074400.0
2023-11-30,225.73,226.39,224.82,226.26,223.71,3148000.0
2023-11-29,226.38,227.19,225.11,225.33,222.79,2653700.0
2023-11-28,224.77,225.91,224.45,225.23,222.69,2761900.0
2023-11-27,225.12,225.53,224.77,225.09,222.55,2410000.0
2023-11-24,225.04,225.44,225.01,225.38,222.84,1219500.0
2023-11-22,224.85,225.76,224.53,225.14,222.6,2880400.0
2023-11-21,224.25,224.43,223.61,224.18,221.65,2513800.0
2023-11-20,223.11,225.25,223.0,224.79,222.26,2875600.0
2023-11-17,222.87,223.44,222.42,223.11,220.6,3123700.0
2023-11-16,222.3,222.88,221.6,222.55,220.04,2754500.0
2023-11-15,222.86,223.8,222.29,222.7,220.19,2819200.0
2023-11-14,220.51,222.78,220.51,222.15,219.65,4055100.0
2023-11-13,216.81,217.86,216.34,217.33,214.88,2829400.0
2023-11-10,215.1,217.61,214.45,217.46,215.01,3303400.0
2023-11-09,216.63,216.78,214.06,214.27,211.86,2771200.0
2023-11-08,216.34,216.72,215.0,216.11,213.68,2813800.0
2023-11-07,215.38,216.5,214.9,216.14,213.7,3194300.0
2023-11-06,215.83,216.07,214.47,215.5,213.07,2915000.0
2023-11-03,214.32,216.2,214.27,215.41,212.98,4216600.0
2023-11-02,210.85,213.11,210.85,213.01,210.61,4111600.0
2023-11-01,207.14,209.22,206.87,208.86,206.51,5789300.0
2023-10-31,205.63,207.0,204.82,206.79,204.46,3325300.0
2023-10-30,204.53,205.98,203.76,205.46,203.15,3562700.0
2023-10-27,205.0,205.11,202.44,203.12,200.83,4290700.0
2023-10-26,205.92,206.36,203.63,204.22,201.92,4133400.0
2023-10-25,208.45,208.54,206.09,206.36,204.04,3454500.0
2023-10-24,209.07,210.21,208.12,209.47,207.11,3180900.0
2023-10-23,207.67,209.97,206.66,207.9,205.56,5473000.0
2023-10-20,210.86,211.05,208.38,208.47,206.12,4446600.0
2023-10-19,213.4,214.35,210.69,211.08,208.7,4322700.0
2023-10-18,215.11,215.63,212.59,213.09,210.69,3255000.0
2023-10-17,214.37,217.38,214.17,216.29,213.85,3627700.0
2023-10-16,214.73,216.46,214.56,216.01,213.58,3361600.0
2023-10-13,215.53,216.01,212.75,213.53,211.12,3267700.0
2023-10-12,216.63,216.72,213.53,214.74,212.32,3244200.0
2023-10-11,216.2,216.63,214.88,216.48,214.04,3033000.0
2023-10-10,214.6,216.95,214.57,215.63,213.2,3494600.0
2023-10-09,211.91,214.65,211.76,214.3,211.89,2869700.0
2023-10-06,209.06,213.78,208.57,212.96,210.56,3666300.0
2023-10-05,210.38,210.86,208.78,210.45,208.08,2679700.0
2023-10-04,209.23,210.89,208.4,210.56,208.19,3045400.0
2023-10-03,211.0,211.69,208.33,209.05,206.69,4389100.0
2023-10-02,212.2,212.85,210.74,212.13,209.74,4358100.0
2023-09-29,214.55,214.67,211.79,212.41,210.02,4435400.0
2023-09-28,211.42,213.87,211.14,213.03,210.63,2952400.0
2023-09-27,212.12,212.46,209.84,211.63,209.25,4407300.0
2023-09-26,213.06,213.43,211.01,211.41,209.03,4371900.0
2023-09-25,213.15,214.5,212.75,214.5,212.08,3440000.0
2023-09-22,214.68,215.3,213.4,213.64,211.23,3261300.0
2023-09-21,216.36,216.42,213.98,214.09,211.68,4190400.0
2023-09-20,221.13,221.49,218.45,218.54,215.29,2448400.0
2023-09-19,220.61,220.87,219.17,220.49,217.21,2977800.0
2023-09-18,220.91,221.69,220.55,221.05,217.76,2259600.0
2023-09-15,222.89,222.92,220.76,221.03,217.74,2638100.0
2023-09-14,222.85,223.98,222.34,223.66,220.33,2002400.0
2023-09-13,221.79,222.3,221.1,221.76,218.46,1990000.0
2023-09-12,222.14,222.97,221.45,221.73,218.43,2448500.0
2023-09-11,222.66,223.04,221.95,222.81,219.5,2087900.0
2023-09-08,221.21,222.18,220.98,221.42,218.13,2244400.0
2023-09-07,220.38,221.5,220.08,221.18,217.89,2964700.0
2023-09-06,222.99,223.18,220.75,221.94,218.64,2473700.0
2023-09-05,224.26,224.64,223.28,223.34,220.02,2531500.0
2023-09-01,225.34,225.78,223.96,224.68,221.34,3047300.0
2023-08-31,224.5,225.18,223.88,223.94,220.61,3044000.0
2023-08-30,223.25,224.5,223.05,224.18,220.84,2420800.0
2023-08-29,219.94,223.32,219.8,223.19,219.87,3160300.0
2023-08-28,219.57,220.32,219.1,219.99,216.72,2364700.0
2023-08-25,217.98,219.24,216.05,218.59,215.34,3631000.0
2023-08-24,220.7,221.14,217.08,217.11,213.88,3099400.0
2023-08-23,218.08,220.4,218.08,220.06,216.79,2560200.0
2023-08-22,219.22,219.22,217.38,217.68,214.44,2892300.0
2023-08-21,217.41,218.68,216.36,218.26,215.01,2755400.0
2023-08-18,215.23,217.56,215.03,217.01,213.78,2931700.0
2023-08-17,219.28,219.5,216.55,216.76,213.54,3135900.0
2023-08-16,220.13,220.96,218.55,218.55,215.3,2933500.0
2023-08-15,222.0,222.24,220.04,220.37,217.09,2997300.0
2023-08-14,221.32,222.92,221.05,222.9,219.58,2435100.0
2023-08-11,221.1,222.41,220.77,221.8,218.5,2219700.0
2023-08-10,223.24,224.88,221.34,222.01,218.71,3033300.0
2023-08-09,223.66,223.69,221.56,221.97,218.67,2203400.0
2023-08-08,223.2,223.77,221.7,223.57,220.24,2796400.0
2023-08-07,223.72,224.71,223.22,224.61,221.27,2376600.0
2023-08-04,224.74,225.84,222.61,222.9,219.58,3023100.0
2023-08-03,223.48,224.77,222.99,223.85,220.52,2925200.0
2023-08-02,225.99,226.14,224.07,224.5,221.16,4239000.0
2023-08-01,227.65,228.0,227.07,227.73,224.34,2809500.0
2023-07-31,228.12,228.56,227.56,228.35,224.95,2658500.0
2023-07-28,227.17,228.03,226.77,227.66,224.27,2257600.0
2023-07-27,228.81,228.97,224.83,225.31,221.96,4730600.0
2023-07-26,226.43,227.77,226.05,227.06,223.68,1985600.0
2023-07-25,226.02,227.6,226.02,226.89,223.51,2084400.0
2023-07-24,226.05,226.71,225.64,226.32,222.95,2291700.0
2023-07-21,226.42,226.54,225.46,225.52,222.17,2296400.0
2023-07-20,226.61,227.01,225.14,225.54,222.18,2651700.0
2023-07-19,227.08,227.76,226.68,227.18,223.8,3106700.0
2023-07-18,224.7,226.92,224.53,226.59,223.22,2949500.0
2023-07-17,223.95,225.36,223.76,224.8,221.46,2688200.0
2023-07-14,224.85,224.86,223.5,223.95,220.62,2911500.0
2023-07-13,223.46,224.64,223.13,224.28,220.94,4113300.0
2023-07-12,222.57,223.1,221.86,222.4,219.09,3030200.0
2023-07-11,219.38,220.93,219.01,220.71,217.43,2158200.0
2023-07-10,217.9,219.03,217.8,218.99,215.73,2080500.0
2023-07-07,217.91,220.08,217.81,218.04,214.8,2771700.0
2023-07-06,218.54,218.54,216.83,218.31,215.06,3404300.0
2023-07-05,220.08,220.61,219.63,220.27,216.99,3341400.0
2023-07-03,220.28,220.94,220.05,220.94,217.65,2423600.0
2023-06-30,219.61,220.86,219.48,220.28,217.0,3443600.0
2023-06-29,216.9,218.1,216.66,218.02,214.78,2857900.0
2023-06-28,216.48,217.51,215.96,216.98,213.75,4362100.0
2023-06-27,214.75,217.11,214.55,216.8,213.57,2653000.0
2023-06-26,214.8,215.82,214.14,214.19,211.0,2846800.0
2023-06-23,215.13,215.89,214.58,214.94,211.74,3327100.0
2023-06-22,216.51,217.59,216.17,217.56,213.51,2669100.0
2023-06-21,217.82,218.08,216.7,216.98,212.94,2713400.0
2023-06-20,218.38,218.67,217.07,218.18,214.12,3156500.0
2023-06-16,221.42,221.42,219.13,219.26,215.18,4762600.0
2023-06-15,216.99,220.71,216.91,220.09,215.99,2895100.0
2023-06-14,217.55,218.53,215.7,217.44,213.39,4131000.0
2023-06-13,216.78,217.77,216.46,217.44,213.39,4295700.0
2023-06-12,214.5,215.86,214.05,215.85,211.83,2479900.0
2023-06-09,214.1,215.08,213.41,213.93,209.95,2084600.0
2023-06-08,212.63,213.97,212.09,213.7,209.72,1943100.0
2023-06-07,213.34,214.12,212.39,212.7,208.74,2272800.0
2023-06-06,212.0,213.37,211.64,213.12,209.15,2227700.0
2023-06-05,212.74,213.36,207.47,212.15,208.2,2249400.0
2023-06-02,210.68,213.09,210.5,212.71,208.75,3017900.0
